region,img_count,2017rn,2021rn,area,2017popu,2021popu,2017gdp,2021gdp,2017second,2021second,2017balance,2021balance,rn_pop2017,rn_pop2021,rn_area2017,rn_area2021
east,5129.466666666666,2443945.7054666663,2841787.613876666,1171.0,36.2,36.00000000000001,744701.7333333333,988794.2333333333,271000.93333333335,269609.4,892167.8333333334,1563899.0,0.0076607665,0.009050452233333334,2.6813e-06,3.171333333333334e-06
middle,7769.69696969697,2536671.5588681814,3235829.4463662882,1998.9621212121212,57.196969696969695,59.72272727272727,1167004.3636363635,1730710.4166666667,478299.5606060606,624212.0757575758,1149836.4772727273,1904345.5378787878,0.005736262787878789,0.007051271053030303,1.4341318181818181e-06,1.8481628787878789e-06
northeast,20443.833333333332,3264642.8311666665,3483633.2465000004,3720.3333333333335,28.333333333333332,27.5,660116.5,654582.6666666666,268094.3333333333,132179.0,571319.3333333334,969549.3333333334,0.012482126666666668,0.013742826666666666,1.0835e-06,1.1875e-06
west,8276.23831775701,1879388.5030852335,2340397.8850542055,2210.4158878504672,35.37850467289719,37.01355140186916,751340.285046729,1074568.023364486,291950.32710280374,357552.9579439252,636265.8177570093,977609.2803738317,0.00660932838317757,0.008065658785046729,9.510831775700934e-07,1.1695499999999999e-06
